id,username,text,datetime,img_src,likes,entities
8IUx5IQ86V,l_d_f_official,"#Repost@culture_pl・・・'Nightingale' the newest pieces by@mariajeglinska! -- LAST DAY of the""What Goes Behind... Contemporary Polish Ceramic Design"" exhibition at@tentlondonduring the@l_d_f_official! Be there!!!#WhatGoesBehind#culturePL#PolskaDesign#LDF15#TentLondon#CmielowDesignStudio#Cmielow#beads#ceramics#Polish#design",2015-09-27T10:06:10.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11887037_899979440076189_510968431_n.jpg?ig_cache_key=MTA4MzIwNzA5OTkwOTEzMTkyNQ%3D%3D.2,188,#repost @culture_pl @mariajeglinska @tentlondon @l_d_f_official #whatgoesbehind #culturepl #polskadesign #ldf15 #tentlondon #cmielowdesignstudio #cmielow #beads #ceramics #polish #design
8GzjlPw84k,l_d_f_official,Constancy and Change in Korean Craft at@tentlondon#ldf15,2015-09-26T19:56:37.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11856787_1502812450035737_120076547_n.jpg?ig_cache_key=MTA4Mjc3OTUwNTk3NTg3MzA2MA%3D%3D.2,320,@tentlondon #ldf15
8GzEhlQ83Z,l_d_f_official,@_concretejunglesstand at@tentlondon#ldf15,2015-09-26T19:52:22.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11909412_931211203581607_556174356_n.jpg?ig_cache_key=MTA4Mjc3NzM3MTczNzgzNzAxNw%3D%3D.2,225,@_concretejungles @tentlondon #ldf15
8Gywyxw82x,l_d_f_official,@100percentnorwayat@tentlondon#ldf15Last day to visit tomorrow!,2015-09-26T19:49:41.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11379962_1607111232886052_384962684_n.jpg?ig_cache_key=MTA4Mjc3NjAxNTgxMTYyODQ2NQ%3D%3D.2,149,@100percentnorway @tentlondon #ldf15
8GyXE9Q811,l_d_f_official,#Repost@craftyfoxmarketOpen tomorrow 11am-5pm・・・Hand painted sign by@moludesigns- visit us today &amp; tomorrow@_kachette#Shoreditch. Part of@l_d_f_official- showcasing a super talented array of designer/makers#handmade#londonforfree#ldf15#craftyfoxmarket,2015-09-26T19:46:10.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11910068_1643805875892217_1764624980_n.jpg?ig_cache_key=MTA4Mjc3NDI0ODYyNTUyNDA4NQ%3D%3D.2,102,#repost @craftyfoxmarket @moludesigns @_kachette #shoreditch @l_d_f_official #handmade #londonforfree #ldf15 #craftyfoxmarket
8Gx6LTQ80l,l_d_f_official,#Repost@iamacrylic・・・What a super lovely day at@craftyfoxmarket😊😊 And the day was made even more fantastic when Viktorija@andsmilestudiopresented me with my very own portrait she'd done as a warm up when we were all setting up! So thrilled!! 🙌🙌#andsmilestudio#craftyfoxmarket#ldf15,2015-09-26T19:42:13.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11910399_1708731716014926_960762185_n.jpg?ig_cache_key=MTA4Mjc3MjI2MjU3MjI0ODM1Nw%3D%3D.2,106,#repost @iamacrylic @craftyfoxmarket @andsmilestudio #andsmilestudio #craftyfoxmarket #ldf15
8Gc8EqQ85N,l_d_f_official,Wooden underground station by@camillabarnard@thedesignjunction#LDF15#TFL,2015-09-26T16:38:59.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11925844_1629997053935261_427467739_n.jpg?ig_cache_key=MTA4MjY4MDAzMzkwNDE1MjE0MQ%3D%3D.2,181,@camillabarnard @thedesignjunction #ldf15 #tfl
8GaNR_Q8xn,l_d_f_official,The Gem Room@thedesignjunctionLaufen in collaboration w/@studioappetit,2015-09-26T16:15:07.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11875313_418824308313169_1152374499_n.jpg?ig_cache_key=MTA4MjY2ODAyMjMwNjY4ODEwMw%3D%3D.2,266,@thedesignjunction @studioappetit
8GYEdnw88g,l_d_f_official,Repost@punktdesignTomorrow's your last chance to see the Punkt's lovely showroom and phone in London.#technology_tamed#MP01#somersethouse@l_d_f_official#LDF15#jaspermorrison#design#disconnect#igersdesign#igerslondon#lookup#lookaround#designaddicted,2015-09-26T15:56:26.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11910427_1199388450087889_207389339_n.jpg?ig_cache_key=MTA4MjY1ODYyMDIyOTAxMzI4MA%3D%3D.2,177,@punktdesign #technology_tamed #mp01 #somersethouse @l_d_f_official #ldf15 #jaspermorrison #design #disconnect #igersdesign #igerslondon #lookup #lookaround #designaddicted
8GTt9Lw8xE,l_d_f_official,Rochester by Michael Anastassiades for Sofa in Sight by@scpltd@shoreditchdt#LDF15,2015-09-26T15:18:25.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11925849_1482187245441469_597713285_n.jpg?ig_cache_key=MTA4MjYzOTQ4MTM4NDk3OTUyNA%3D%3D.2,251,@scpltd @shoreditchdt #ldf15
8GTMOvw8_0,l_d_f_official,#TheDeadgoodLibraryby@deadgoodltd@shoreditchdt#LDF15,2015-09-26T15:13:48.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/11849937_1501561886833254_672477146_n.jpg?ig_cache_key=MTA4MjYzNzE2Mzc4MDM2MjIyOA%3D%3D.2.c,246,#thedeadgoodlibrary @deadgoodltd @shoreditchdt #ldf15
8GSjNxQ8-P,l_d_f_official,The Flower Shop by@leebroom@shoreditchdt#LDF15#broominbloom,2015-09-26T15:08:12.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/11925878_1049397991738535_1120312460_n.jpg?ig_cache_key=MTA4MjYzNDM0NTIzMzIzOTk1MQ%3D%3D.2.c,186,@leebroom @shoreditchdt #ldf15 #broominbloom
8GR3pQQ88e,l_d_f_official,The Erosional Remnant made from jesmonite by Hilda Hellstrom.#ReadyMadeGoin Hoi Polloi at@acehotelpresented by#ModernDesignReview#LDF15@shoreditchdt,2015-09-26T15:02:15.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11326092_1153480847999203_305572023_n.jpg?ig_cache_key=MTA4MjYzMTM1MTA4NzM4NjM5OA%3D%3D.2,180,#readymadego @acehotel #moderndesignreview #ldf15 @shoreditchdt
8GD33DQ8-L,l_d_f_official,Last two days of RE-INVENTING SHOES@unitednude_londonFloral St Flagship,2015-09-26T12:59:57.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11931188_1642809792663332_326745210_n.jpg?ig_cache_key=MTA4MjU2OTc5MzI1MDUxMjc3OQ%3D%3D.2,133,@unitednude_london
8F-_ahw8zt,l_d_f_official,A led tour of the Timeless Design exhibition@harrodsbegins at 3pm today. Visitors should meet at the Timeless Design Exhibition on the Third Floor.#LDF15#HarrodsLDF,2015-09-26T12:17:18.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11950674_804701246305599_1533215961_n.jpg?ig_cache_key=MTA4MjU0ODMyMjE0Njk2MjY2OQ%3D%3D.2,170,@harrods #ldf15 #harrodsldf
8F8Q7Jw8-b,l_d_f_official,Repost@fieramagazineSophie Southgate@designersblock#LDF15,2015-09-26T11:53:28.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11420725_1070640622949116_1572635742_n.jpg?ig_cache_key=MTA4MjUzNjMzMTI2OTM2MTU2Mw%3D%3D.2,343,@fieramagazine @designersblock #ldf15
8F7zUgQ89N,l_d_f_official,Repost@henrybourne1Congratulations to the legendary film production designer Sir Ken Adam for his Lifetime Achievement Award at@l_d_f_official@somersethouselondonthis week. My photograph of Sir Ken Adam in 2012 part of the National Portrait Gallery London photography collection @nationalportraitgallerySir#KenAdam #LDF15#DrStrangelove#Goldfinger#JamesBond#nationalportraitgallery#henrybourne,2015-09-26T11:49:26.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10358345_843278515785123_1307768920_n.jpg?ig_cache_key=MTA4MjUzNDI5NjkwNjA5MjM2NQ%3D%3D.2,113,@henrybourne1 @l_d_f_official @somersethouselondon @nationalportraitgallery #kenadam #ldf15 #drstrangelove #goldfinger #jamesbond #nationalportraitgallery #henrybourne
8F7nKJQ887,l_d_f_official,Repost@samuel_wilkinsonThe Ommatidium is finally finished (apart from lights / next week)  the sun is out and all is good in Shoreditch.#ldf15#ldf2015#shoreditchdesigntriangle#icondesigntrail#urbanart#design,2015-09-26T11:47:46.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10843728_853862244728583_910617140_n.jpg?ig_cache_key=MTA4MjUzMzQ2MTE0OTA3NzMwNw%3D%3D.2,161,@samuel_wilkinson #ldf15 #ldf2015 #shoreditchdesigntriangle #icondesigntrail #urbanart #design
8F7ZzVQ88h,l_d_f_official,Repost@establishedandsonsLDF15 The sun is shining in London Town  don't forget to visit our Stack-Up exhibition by Raw-Edges if you are in Shoreditch or Islington this weekend. We're open 10am - 5pm Location 5-7 Wenlock Rd  N1 7SL#establishedandsons#stackup#stack#rawedges#ldf15#design#colour#shoreditch#london#weekend#exhibition,2015-09-26T11:45:57.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11326098_1503453419947459_1893963690_n.jpg?ig_cache_key=MTA4MjUzMjU0MzMwMTE0NDM1Mw%3D%3D.2,187,@establishedandsons #establishedandsons #stackup #stack #rawedges #ldf15 #design #colour #shoreditch #london #weekend #exhibition
8F62UvQ87c,l_d_f_official,Ten Designers in the West Wing@SomersetHouseLondon: Ross Lovegrove with@kef_audio: The convergence of Art  Design and Technology.Photo@misstinahillier#LDF15#Art#Design#Technology#RossLovegrove#SomersetHouse,2015-09-26T11:41:06.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/11849459_180846465582605_1198403743_n.jpg?ig_cache_key=MTA4MjUzMDEwNTI2OTY2OTU5Ng%3D%3D.2,221,@somersethouselondon @kef_audio @misstinahillier #ldf15 #art #design #technology #rosslovegrove #somersethouse
8F6e9Mw86x,l_d_f_official,Samsung Serif TV by@RonanErwanBouroullec@somersethouselondonPhoto@misstinahillier#LDF15#seriftv#samsung,2015-09-26T11:37:55.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/11939599_1643401582607328_1646822087_n.jpg?ig_cache_key=MTA4MjUyODQ5OTQ0NjgyODcyMQ%3D%3D.2,205,@ronanerwanbouroullec @somersethouselondon @misstinahillier #ldf15 #seriftv #samsung
8F57OFw86E,l_d_f_official,#Poweredbytweetsexhibition@SomersetHouseLondonOn show until tomorrow!Photo@misstinahillier,2015-09-26T11:33:02.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/10919630_1388561564776648_1863199139_n.jpg?ig_cache_key=MTA4MjUyNjA0MzY4MTgzNjY3Ng%3D%3D.2,156,#poweredbytweets @somersethouselondon @misstinahillier
8F5oQvw85g,l_d_f_official,Repost@sonosLondoners  music lovers  design devotees -#SonosStudiohas arrived in London. Stop by: studio.sonos.com,2015-09-26T11:30:26.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12063153_168856723456173_1820709236_n.jpg?ig_cache_key=MTA4MjUyNDc0MDg2MzkwNTM3Ng%3D%3D.2,192,@sonos #sonosstudio
8F5hW8w85P,l_d_f_official,Repost@darkroom_londonIn central London today? Why not check out our@l_d_f_officialinstallation at@theofficialselfridges- We're celebrating our 5th birthday with 5 specially designed collections.#selfridgesxldf#darkroom5#darkroomselfridges,2015-09-26T11:29:30.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11351917_769400683186215_3382448_n.jpg?ig_cache_key=MTA4MjUyNDI2NjQ4ODEyMjk1OQ%3D%3D.2,157,@darkroom_london @l_d_f_official @theofficialselfridges #selfridgesxldf #darkroom5 #darkroomselfridges
8Fwqt8w85c,l_d_f_official,"Repost@stowerkstattThe epicentre of the exhibition designed by Jürgen Mayer H.  which consists of an abstract hand-shaped sculpture formed using traditional Black Forest ""Bollenputz"". Please find more information about the exhibition and the Werkstatt by the links here: http://werkstatt.sto.com/en/what-s-on/news-detailview_35520.html#Hands_on#installation#ldf15#londondesignfestival2015#architecturelovers#architecture#jmayerh",2015-09-26T10:12:08.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11848928_783806575078624_302266817_n.jpg?ig_cache_key=MTA4MjQ4NTMyNzI0MDg3NTYxMg%3D%3D.2,192,@stowerkstatt #hands_on #installation #ldf15 #londondesignfestival2015 #architecturelovers #architecture #jmayerh
8DyHlUw86H,l_d_f_official,Tomorrow is the last day to visit@100percentdesignHead to Olympia London between 10am-6pm.#LDF15,2015-09-25T15:46:20.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1170286_1092041000819930_1929899791_n.jpg?ig_cache_key=MTA4MTkyODc1ODkzNzc2NzU1OQ%3D%3D.2,153,@100percentdesign #ldf15
8Du7eSQ8zd,l_d_f_official,Curiosity Cloud@vamuseumCome and try the multi-sensory experience designed by mischer'traxler in collaboration with@perrierjouet.Open until Sunday 27 September#LDF15,2015-09-25T15:18:28.000Z,https://scontent.cdninstagram.com/l/t51.2885-15/e35/11934896_176937972639802_1287115375_n.jpg?ig_cache_key=MTA4MTkxNDczMjYwNjM3NzE4MQ%3D%3D.2,250,@vamuseum @perrierjouet #ldf15
8DqwvlQ86F,l_d_f_official,Grab the last free tickets to Odyssey by@optimistdesignthis weekend@somersethouselondon: optimistdesign.nutickets.com#LDF15,2015-09-25T14:42:03.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/11313796_473354516168052_2107066766_n.jpg?ig_cache_key=MTA4MTg5NjQwMzA3ODQ2NzIwNQ%3D%3D.2,163,@optimistdesign @somersethouselondon #ldf15
8DpqrVQ83z,l_d_f_official,LDVC with Longchamp installation@riba@ribalondon@regentstreetw1#ribawindows,2015-09-25T14:32:29.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11848855_907390666020981_117272228_n.jpg?ig_cache_key=MTA4MTg5MTU4ODE1MTY5Mjc4Nw%3D%3D.2,110,@riba @ribalondon @regentstreetw1 #ribawindows
8DipSMw86K,l_d_f_official,Have you visited The Cloakroom yet?Here are some lovely snapshots of visitors who've given it a go.@toogood_unisexouterwear#cloakroom#installation#coats@vamuseum#LDF15,2015-09-25T13:31:07.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11881713_987644994632311_1570896878_n.jpg?ig_cache_key=MTA4MTg2MDcwNjEyMDQ4NjUzOA%3D%3D.2,152,@toogood_unisexouterwear #cloakroom #installation #coats @vamuseum #ldf15
8DgDlFQ80h,l_d_f_official,Repost@citizenmMax Lamb cut a 187-year-old ash tree into 131 functional forms for My Grandfather's Tree at Somerset House#LDF15@coadgtakeover,2015-09-25T13:08:30.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11850177_135839906767339_78185324_n.jpg?ig_cache_key=MTA4MTg0OTMxODk2MjYxMzUzNw%3D%3D.2,226,@citizenm #ldf15 @coadg
8Dd1vFw8_k,l_d_f_official,Well Proven Chair by Marjan van Aubel &amp; James ShawHead to Somerset House this weekend and see an exhibition of key works from the winners of the British Land Celebration of Design Awards 2015.#LDF15#Somersethouse#exhibition#award#winners#design#medals#2015#britishland@panerai#pch@swarovski@marjanvanaubel#chair@somersethouselondon,2015-09-25T12:49:08.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/11881723_1486574995003122_1363320751_n.jpg?ig_cache_key=MTA4MTgzOTU3MTU0MjcyNDU4MA%3D%3D.2,285,#ldf15 #somersethouse #exhibition #award #winners #design #medals #2015 #britishland @panerai #pch @swarovski @marjanvanaubel #chair @somersethouselondon
8Dbh5Gw87Y,l_d_f_official,Mike Meyer Hand-Lettering Workshop@BanksideDesign@boroughmarket@betterletters#LDF15,2015-09-25T12:28:57.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11906139_1506175829701668_2006032561_n.jpg?ig_cache_key=MTA4MTgyOTQxMTgxNDM2Mjg0MA%3D%3D.2,191,@banksidedesign @boroughmarket @betterletters #ldf15
8DZ_0Sw84X,l_d_f_official,Repost@somersethouselondonExplore the interactive light installation SPINE by Nassia Inglessis at#LDF15. Powered by Plumen  this work draws a parallel between our own physiology and the technological environment.Free Admission to all@l_d_f_officialevents and installations. Until Sun 27 Sep.#somersethouse#londondesignfestival#Londonart#plumen#NassiaInglessis#design#technology#bodyart#electricity#spine#phsyiology,2015-09-25T12:15:33.000Z,https://scontent.cdninstagram.com/t51.2885-15/e15/11377872_554153488081731_1501418995_n.jpg?ig_cache_key=MTA4MTgyMjY3MjEzODI1OTk5MQ%3D%3D.2,193,@somersethouselondon #ldf15 @l_d_f_official #somersethouse #londondesignfestival #londonart #plumen #nassiainglessis #design #technology #bodyart #electricity #spine #phsyiology
8DZXZdw83U,l_d_f_official,Invisible Spaces: Annabel Karim Kassar in conversation with Talib Choudhry  The TelegraphFrench-born architect  Annabel Karim Kassar  has been credited with breathing new life into the Middle East’s most creative capital  Beirut. Annabel is recognised for her winning architectural and interiors projects in Beirut  Dubai and London.26 September at 5pm. Old Truman Brewery  Hanbury Street  E1 6QR. RVSP: bit.ly/1K7fohu#LDF15@tentlondon#Talk&nbsp;#AnnabelKarimKassar#Architect#SuperTalks15@akk_architects,2015-09-25T12:10:02.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/11925714_678551105580218_1252363417_n.jpg?ig_cache_key=MTA4MTgxOTg5NDU1MjcxMDYxMg%3D%3D.2,346,#ldf15 @tentlondon #talk #annabelkarimkassar #architect #supertalks15 @akk_architects
8DXJKoQ8zX,l_d_f_official,Repost@interfaceeuropeThe Lost Roses of Brixton by Squire &amp; Partners Architects@squirepartnersBrixton Design Trail  Street Gallery#BrixtonStreetGallery#BrixtonDT#LDF15#StreetArt#Lambeth#Art#architecture#design#designer#designers#architects,2015-09-25T11:50:37.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1172232_1502736350041428_737151706_n.jpg?ig_cache_key=MTA4MTgxMDEyMDQ1NzA0NzI1NQ%3D%3D.2,176,@interfaceeurope @squirepartners #brixtonstreetgallery #brixtondt #ldf15 #streetart #lambeth #art #architecture #design #designer #designers #architects
8DWb6LQ8yA,l_d_f_official,Repost@telegraphluxuryIf you're planning a@l_d_f_officialfilled weekend  don't miss#fredriksonstallard's Momentum exhibition#LDF15#exhibition#design,2015-09-25T11:44:26.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c110.0.860.860/10549917_1688910971330242_1737024066_n.jpg?ig_cache_key=MTA4MTgwNzAxMDQxNDE4NTYwMA%3D%3D.2.c,280,@telegraphluxury @l_d_f_official #fredriksonstallard #ldf15 #exhibition #design
8A93jtQ88_,l_d_f_official,10 FREE tickets to see Wolfgang Buttress today 4pm@vamuseum!Go to: http://bit.ly/1YDciNbCode: WOLFGANG-BUTTRESS#LDF15,2015-09-24T13:31:17.000Z,https://scontent.cdninstagram.com/t51.2885-15/e35/c100.0.400.400/11326098_1016512045065748_1681090799_n.jpg?ig_cache_key=MTA4MTEzNjAwOTMxNzY5OTM5MQ%3D%3D.2.c,87,@vamuseum #ldf15
8A4l6tw8y3,l_d_f_official,MULTIPLEX by@tomdixonstudiois open until 15 October at the Old Selfridges Hotel.Explore departments dedicated to technology  home  fashion  beauty  jewellery  as well as a food hall. The site hosts an eclectic range of events  installations  pop-ups and interventions.#LDF15#London#Design#Festival#MULTIPLEX@theofficialselfridges,2015-09-24T12:45:11.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/891436_139671346384675_1666018399_n.jpg?ig_cache_key=MTA4MTExMjgwNjgzOTAxMjUzNQ%3D%3D.2,170,@tomdixonstudio #ldf15 #london #design #festival #multiplex @theofficialselfridges
8A3NYNw8_v,l_d_f_official,Repost@tokyobikelondontokyobike Colour nicely matches with@darkroom_londonwindow display.tokyobike Design Tours with@fieramagazinepart of@thedesignjunction#tokyobikeTour@l_d_f_official#ldf15#tokyobike,2015-09-24T12:33:06.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11809650_178278869173580_1070219868_n.jpg?ig_cache_key=MTA4MTEwNjcyMjQ4MDk2NzY2Mw%3D%3D.2,291,@tokyobikelondon @darkroom_london @fieramagazine @thedesignjunction #tokyobiketour @l_d_f_official #ldf15 #tokyobike
8A3CxNw8_c,l_d_f_official,Spine  an interactive light installation by Nassia Inglessis powered by@plumen@somersethouselondonStamp Stair  South Wing.Open until 27 September!Thu - Sat 10.00-21.00Sun 10.00-18.00#LDF15#DesignTakes#London,2015-09-24T12:31:39.000Z,https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11925591_1696799443886934_394434600_n.jpg?ig_cache_key=MTA4MTEwNTk5MzQxMDI2OTE0OA%3D%3D.2,204,@plumen @somersethouselondon #ldf15 #design #london
